project,sbomit_packages,syft_packages,trivy_packages,syft_captures_sbomit,syft_captures_sbomit_pct,syft_misses_sbomit,syft_misses_sbomit_pct,syft_beyond_sbomit,syft_beyond_sbomit_pct,trivy_captures_sbomit,trivy_captures_sbomit_pct,trivy_misses_sbomit,trivy_misses_sbomit_pct,trivy_beyond_sbomit,trivy_beyond_sbomit_pct,sbomit_time_s,sbomit_time_min,syft_time_s,trivy_time_s,sbomit_vs_syft_slowdown_x,sbomit_vs_trivy_slowdown_x,attestation_mb,sbomit_sbom_mb,syft_sbom_mb,trivy_sbom_mb,sbomit_gt_syft,sbomit_gt_trivy
gittuf,322,310,232,310,96.3,12,3.7,0,0.0,223,69.3,99,30.7,9,3.9,522.0,8.7,43.5,6.9,12.0,75.7,12.56,0.35,1.57,0.39,YES,YES
python-tuf,92,0,0,0,0.0,92,100.0,0,0.0,0,0.0,92,100.0,0,0,150.9,2.52,69.8,0.3,2.2,150.9,12.41,0.04,1.94,0.0,YES,YES
go-tuf,33,32,21,32,97.0,1,3.0,0,0.0,21,63.6,12,36.4,0,0.0,126.6,2.11,6.8,1.7,18.6,74.5,8.7,0.05,0.11,0.03,YES,YES
intoto,55,37,11,37,67.3,18,32.7,0,0.0,11,20.0,44,80.0,0,0.0,250.6,4.18,35.9,0.2,7.0,250.6,8.41,0.06,1.17,0.0,YES,YES
sbomit,28,27,16,27,96.4,1,3.6,0,0.0,15,53.6,13,46.4,1,6.2,37.2,0.62,9.6,2.0,3.9,18.6,0.57,0.02,0.08,0.02,YES,YES
flux2,420,404,321,404,96.2,16,3.8,0,0.0,296,70.5,124,29.5,25,7.8,45.3,0.76,37.8,10.0,1.2,4.5,0.73,0.51,1.25,0.69,YES,YES
argo-cd,1836,1835,775,1835,99.9,1,0.1,0,0.0,749,40.8,1087,59.2,26,3.4,7310.4,121.84,230.8,52.6,31.7,139.0,99.21,3.33,8.22,1.29,YES,YES
protobom,55,53,39,53,96.4,2,3.6,0,0.0,38,69.1,17,30.9,1,2.6,48.3,0.8,11.9,2.0,4.1,24.1,0.77,0.08,0.12,0.05,YES,YES
rust-tuf,158,158,146,158,100.0,0,0.0,0,0.0,146,92.4,12,7.6,0,0.0,138.2,2.3,2.5,0.5,55.3,138.2,9.26,0.41,0.41,0.2,NO,YES
kyverno,1360,658,449,658,48.4,702,51.6,0,0.0,420,30.9,940,69.1,29,6.5,14179.6,236.33,258.4,46.2,54.9,306.9,482.65,7.49,7.08,0.87,YES,YES
