project,sbomit_union_packages,ptrace_only_packages,syft_packages,trivy_packages,syft_captures_sbomit_pct,syft_misses_sbomit,syft_misses_sbomit_pct,syft_beyond_sbomit,syft_beyond_sbomit_pct,trivy_captures_sbomit_pct,trivy_misses_sbomit,trivy_misses_sbomit_pct,trivy_beyond_sbomit,trivy_beyond_sbomit_pct,syft_captures_ptrace_pct,syft_misses_ptrace,syft_misses_ptrace_pct,syft_beyond_ptrace,syft_beyond_ptrace_pct,trivy_captures_ptrace_pct,trivy_misses_ptrace,trivy_misses_ptrace_pct,trivy_beyond_ptrace,trivy_beyond_ptrace_pct,ptrace_in_sbomit,ptrace_only_not_in_sbomit,sbomit_time_s,sbomit_time_min,syft_time_s,trivy_time_s,sbomit_vs_syft_slowdown_x,sbomit_vs_trivy_slowdown_x,attestation_mb,sbomit_sbom_mb,syft_sbom_mb,trivy_sbom_mb,sbomit_gt_syft,sbomit_gt_trivy,ptrace_gt_syft,ptrace_gt_trivy
gittuf,322,221,310,232,96.3,12,3.7,0,0.0,69.3,99,30.7,9,3.9,94.6,12,5.4,101,32.6,94.6,12,5.4,23,9.9,221,0,522.0,8.7,43.5,6.9,12.0,75.7,12.56,0.35,1.57,0.39,YES,YES,NO,NO
python-tuf,92,49,0,0,0.0,92,100.0,0,0,0.0,92,100.0,0,0,0.0,49,100.0,0,0,0.0,49,100.0,0,0,49,0,150.9,2.52,69.8,0.3,2.2,150.9,12.41,0.04,1.94,0.0,YES,YES,YES,YES
go-tuf,33,16,32,21,97.0,1,3.0,0,0.0,63.6,12,36.4,0,0.0,93.8,1,6.2,17,53.1,93.8,1,6.2,6,28.6,16,0,126.6,2.11,6.8,1.7,18.6,74.5,8.7,0.05,0.11,0.03,YES,YES,NO,NO
intoto,55,28,37,11,67.3,18,32.7,0,0.0,20.0,44,80.0,0,0.0,39.3,17,60.7,26,70.3,28.6,20,71.4,3,27.3,28,0,250.6,4.18,35.9,0.2,7.0,250.6,8.41,0.06,1.17,0.0,YES,YES,NO,YES
sbomit,28,14,27,16,96.4,1,3.6,0,0.0,53.6,13,46.4,1,6.2,92.9,1,7.1,14,51.9,92.9,1,7.1,3,18.8,14,0,37.2,0.62,9.6,2.0,3.9,18.6,0.57,0.02,0.08,0.02,YES,YES,NO,NO
flux2,420,215,404,321,96.2,16,3.8,0,0.0,70.5,124,29.5,25,7.8,92.6,16,7.4,205,50.7,92.6,16,7.4,122,38.0,215,0,45.3,0.76,37.8,10.0,1.2,4.5,0.73,0.51,1.25,0.69,YES,YES,NO,NO
argo-cd,1836,1,1835,775,99.9,1,0.1,0,0.0,40.8,1087,59.2,26,3.4,0.0,1,100.0,1835,100.0,0.0,1,100.0,775,100.0,1,0,7310.4,121.84,230.8,52.6,31.7,139.0,99.21,3.33,8.22,1.29,YES,YES,NO,NO
protobom,55,25,53,39,96.4,2,3.6,0,0.0,69.1,17,30.9,1,2.6,92.0,2,8.0,30,56.6,92.0,2,8.0,16,41.0,25,0,48.3,0.8,11.9,2.0,4.1,24.1,0.77,0.08,0.12,0.05,YES,YES,NO,NO
rust-tuf,158,88,158,146,100.0,0,0.0,0,0.0,92.4,12,7.6,0,0.0,100.0,0,0.0,70,44.3,100.0,0,0.0,58,39.7,88,0,138.2,2.3,2.5,0.5,55.3,138.2,9.26,0.41,0.41,0.2,NO,YES,NO,NO
kyverno,1360,820,658,449,48.4,702,51.6,0,0.0,30.9,940,69.1,29,6.5,58.4,341,41.6,179,27.2,47.0,435,53.0,64,14.3,820,0,14179.6,236.33,258.4,46.2,54.9,306.9,482.65,7.49,7.08,0.87,YES,YES,YES,YES
